productId,name,productFamily,active,candidateCapabilities,relationTypes,confidence,evidence,coverageStatus,reviewReason
670,Pack 100lbs Crumb Bumpers | KONG,,,,,,,UNMODELED,
1176,Slam Ball Smooth 150lbs | HWM,BALL_BAG,true,,,,,UNMODELED,
180,Kettlebell Acero 4kg | HWM®,KETTLEBELL,true,,,,,UNMODELED,
932,Dual Aducción/Abducción MO Series | Obelix,,false,,,,,UNMODELED,
1657,Curl Femoral Acostado Iso Lateral Beast | Obelix,PLATE_LOADED_MACHINE,true,LEG_CURL,DIRECT,EXPLICIT,NAME:NAME:curl femoral:NAME_LEG_CURL_EXPLICIT_V1:,UNMODELED,
2006,Polea Lateral Dual Accesorio Alpha | HWM®,CABLE_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
395,Rack de Almacenamiento Barra Olímpica 10pcs Vertical de Muro | HWM®,STORAGE,true,,,,,NO_CAPABILITY_APPLICABLE,
1192,Par Elevador de Talones Metálicos 30°grados | HWM®,,true,,,,,UNMODELED,
34,Barra Olímpica W 7kg | PROmachine,BARBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
808,Arm Blaster Biceps Isolator | FullFit,,true,,,,,UNMODELED,
2051,Bicicleta Reclinada NextGen EB8800 | Obelix,CARDIO_MACHINE,true,,,,,UNMODELED,
2070,Banco Lumbar ZR Series | PROmachine,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
50,Slam Ball Grip 60Lbs | HWM®,BALL_BAG,true,,,,,NO_CAPABILITY_APPLICABLE,
415,Pack 10 Pares de Mancuernas de Caucho + Rack | HWM,DUMBBELL,false,,,,,NO_CAPABILITY_APPLICABLE,
1126,Rampa Caminata de Manos | HWM®,BODYWEIGHT_GYMNASTICS,true,,,,,UNMODELED,
64,Balón Medicinal 9kg Black Series | HWM®,BALL_BAG,true,,,,,UNMODELED,
2018,Prensa Inclinada 45° Unilateral MO 2.0 | Obelix®,PLATE_LOADED_MACHINE,true,,,,,UNMODELED,
1886,T-Bar Row ZR Series | PROmachine,PLATE_LOADED_MACHINE,true,,,,,UNMODELED,
1250,Par Discos Fraccionados Chromed Steel 2.5kg | XMASTER,WEIGHT_PLATE,true,,,,,UNMODELED,
832,Par Bumper Plates Color Stripe 20kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
1297,Pack 9kg Discos Fraccionados Chromed Steel | XMASTER,WEIGHT_PLATE,false,,,,,UNMODELED,
1357,Strongman Sandbag 100lbs (Sin relleno) | KONG,BALL_BAG,true,,,,,UNMODELED,
62,Balón Medicinal 5kg Black Series | HWM®,BALL_BAG,true,,,,,UNMODELED,
63,Balón Medicinal 7kg Black Series | HWM®,BALL_BAG,true,,,,,UNMODELED,
1943,Pack 10 Pares de Mancuernas Hexagonales (2.5 a 25kg) | HWM®,DUMBBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
194,Kettlebell de Vinilo 12kg,KETTLEBELL,true,,,,,UNMODELED,
1754,Par Mancuernas de Neopreno 4kg Verde | FullFit,DUMBBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
1500,Press de Hombro MO 2.0 Obelix®,SELECTORIZED_MACHINE,true,SHOULDER_PRESS,DIRECT,EXPLICIT,NAME:NAME:press de hombro:NAME_SHOULDER_PRESS_EXPLICIT_V1:,UNMODELED,
1663,Prensa Péndulo Beast | Obelix,PLATE_LOADED_MACHINE,true,,,,,UNMODELED,
1340,Banda de Resistencia X-Heavy 64mm 175lbs Azul | HWM,BAND_SUSPENSION,true,,,,,NO_CAPABILITY_APPLICABLE,
1355,Par Mini Farmer's Carry | HWM®,,true,,,,,UNMODELED,
1022,"Barra de Tríceps ""V"" Grip - Accesorio Polea | Obelix",CABLE_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
2140,Banco Hip Thrust 3.0 ZR Series | PROmachine,BENCH,true,HIP_THRUST,DIRECT,EXPLICIT,NAME:NAME:hip thrust:NAME_HIP_THRUST_EXPLICIT_V1:,UNMODELED,
1440,Sand Bag Training 15kg | HWM®,BALL_BAG,true,,,,,UNMODELED,
1612,Par Calleras Stone 2.0 Sin Orificios Turquesa | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
