productId,name,active,revenue,productFamily,coverageStatus,assignments,relationTypes,derivedBodyRegions,derivedMuscleGroups,derivedPatterns,reviewBucket,reviewQuestion
1652,Barra Olímpica Squat Bar 25kg | KONG,true,6309696.5,BARBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿La señal deferred corresponde a producto vendible actual o a deuda ontológica?
227,Par Mancuernas Hexagonales 7.5kg | HWM®,true,34103856,DUMBBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
872,Colchoneta Oxford Negro/Rojo 100x50x5cm | FullFit,true,32914740.5,FLOORING,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
1515,Banco Sissy Squat MO 2.0 | Obelix®,true,3059899,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿La señal deferred corresponde a producto vendible actual o a deuda ontológica?
1499,Par Discos Olímpicos Grip Rubber 20kg | PROmachine,true,31643477.5,WEIGHT_PLATE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
1497,Par Discos Olímpicos Grip Rubber 10kg | PROmachine,true,31590192.6,WEIGHT_PLATE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
144,Par Discos Preolímpicos 5kg | Barbell,true,31579261.5,WEIGHT_PLATE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
1825,Banco Sentadilla Búlgara | Rising,true,2471013,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿La señal deferred corresponde a producto vendible actual o a deuda ontológica?
1873,Bíceps Curl Accesorio Banco B814 | PROmachine,true,1908716,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿La señal deferred corresponde a producto vendible actual o a deuda ontológica?
389,Rack de Almacenamiento Mancuernas 3 Niveles | HWM®,true,31354659.75,STORAGE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
1832,Preacher Pad Biceps Curl | Rising,true,837795,UNKNOWN,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿La señal deferred corresponde a producto vendible actual o a deuda ontológica?
930,Bulgarian Squat (Accesorio Jaula Hell - MJHWM2) | HWM,true,608686.5,MACHINE_ATTACHMENT,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿La señal deferred corresponde a producto vendible actual o a deuda ontológica?
35,Barra Olímpica Z 6.5kg | PROmachine,true,29985965.4,BARBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
2303,Banco Sentadilla Búlgara - 2da Selección HWM® (HWM855-SU45-7),true,49495,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿La señal deferred corresponde a producto vendible actual o a deuda ontológica?
610,Barra Olímpica Cerakote Pink 15kg | KONG,true,28871211.5,BARBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
1867,Banco Regulable Multifuncional B814 ZR Series | PROmachine,true,28294896,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un producto multiuso/pack que debe permanecer UNMODELED?
774,Rack de Almacenamiento Discos y Barra Olímpica con ruedas | HWM®,true,28035111.5,STORAGE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
155,Colchoneta Pu Negro/Rojo 100x50x5cm | FullFit,true,27760359.5,FLOORING,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
575,Par Discos Olímpicos 45lb | Barbell Standard,true,27588455.5,WEIGHT_PLATE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
1117,Banco Regulable Plegable 1.0 | Forza,true,27549092.5,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
2061,Banco Regulable Delta | HWM®,true,27304882,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
1548,Banco Regulable Plegable Delta | HWM®,true,27015593,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
795,Barra Olímpica Cerakote Black 20kg | KONG,true,26748554,BARBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
545,Barra Olímpica 20kg 220cm Eco Serie | PROmachine,true,26677544.8249,BARBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
145,Par Discos Preolímpicos 10kg | Barbell,true,26572542,WEIGHT_PLATE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
24,Barra Olímpica Hexagonal 20kg | HWM®,true,25366730,BARBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
226,Par Mancuernas Hexagonales 5kg | HWM®,true,25351547.5,DUMBBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
21,Barra Olímpica 20kg Elite | HWM®,true,24546949.9995,BARBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
231,Par Mancuernas Hexagonales 17.5kg | HWM®,true,23661718.5,DUMBBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
1323,Piso de Caucho Interlock 100x100cm x 10mm (Unidad) Incluye Bordes,true,23310903.5,FLOORING,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
1208,Barra Olímpica Cerakote Black Camo 700lb 20kg | HWM,true,23224007,BARBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
234,Par Mancuernas Hexagonales 25kg | HWM®,true,21752759.5,DUMBBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
1734,Piso de Caucho Interlock 50x50cm x 20mm (Unidad) Incluye 3 Conectores,true,21426787.5,FLOORING,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
233,Par Mancuernas Hexagonales 22.5kg | HWM®,true,21400304.5,DUMBBELL,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
1498,Par Discos Olímpicos Grip Rubber 15kg | PROmachine,true,21381170.5,WEIGHT_PLATE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
1150,Pack 8 Palmetas de Caucho 50x50cm x 25mm,true,21070656,FLOORING,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un producto multiuso/pack que debe permanecer UNMODELED?
147,Par Discos Preolímpicos 20kg | Barbell,true,20772641.5,WEIGHT_PLATE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
898,Banco Plano Amarillo Flúor | KONG,true,20576828,BENCH,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
1199,Piso de Caucho Rollo 10x1mt x 6mm,true,20149235,FLOORING,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Falta una capability V1 explícita o la ausencia representa SAFE_SPARSITY?
818,Cinturón de Levantamiento Straight Black | HWM,true,20045777,PROTECTIVE_GEAR,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
1496,Par Discos Olímpicos Grip Rubber 5kg | PROmachine,true,19638685,WEIGHT_PLATE,NO_CAPABILITY_APPLICABLE,,,,,,NO_CAPABILITY_APPLICABLE,¿Es un accesorio/support que debe permanecer sin capability?
